,homeid,average_age_numeric,workstatus,total_participants
0,47,24.5,0.0,2
1,59,22.0,0.3333333333333333,3
2,61,54.5,0.0,2
3,62,32.0,0.0,2
4,63,39.5,0.0,2
5,64,19.5,0.5,4
6,65,47.0,0.0,2
7,66,18.25,0.5,4
8,67,52.0,0.0,2
9,68,52.0,0.0,1
10,69,22.0,0.0,4
11,70,27.0,0.0,1
12,71,22.0,0.0,1
13,72,52.0,0.0,2
14,73,25.333333333333332,0.0,3
15,74,54.5,0.0,2
16,75,29.5,0.0,2
17,76,20.75,0.0,4
18,77,52.0,0.0,1
19,78,28.666666666666668,0.0,3
20,79,28.666666666666668,0.0,3
21,80,22.0,0.0,1
22,81,69.5,1.0,2
23,82,47.0,0.0,2
24,83,57.0,0.0,2
25,84,18.25,0.0,4
26,85,20.333333333333332,0.0,3
27,86,69.5,1.0,2
28,88,72.0,1.0,1
29,89,62.0,0.0,1
30,90,57.0,0.0,1
31,91,29.5,0.0,2
32,92,22.0,0.0,4
33,93,33.25,0.0,4
34,94,32.0,0.0,2
35,96,21.0,0.0,5
36,97,40.333333333333336,0.0,3
37,98,27.0,0.0,3
38,99,29.5,0.0,4
39,100,52.0,0.0,1
40,101,37.0,0.0,1
41,102,42.0,0.3333333333333333,3
42,105,47.0,0.0,1
43,106,32.0,0.0,1
44,107,27.0,0.0,2
45,109,33.25,0.0,4
46,110,37.0,0.0,3
47,113,37.0,0.5,2
48,114,32.0,0.0,3
49,115,17.0,0.0,3
50,116,49.5,0.5,2
51,117,47.0,0.0,1
52,118,27.0,0.5,2
53,119,62.0,0.5,2
54,120,77.0,0.0,1
55,121,64.5,0.5,2
56,122,33.666666666666664,0.0,3
57,123,32.0,0.0,4
58,124,47.0,0.3333333333333333,3
59,125,29.5,0.0,2
60,126,52.0,1.0,1
61,128,42.0,0.0,2
62,129,30.333333333333332,0.0,3
63,133,38.25,0.25,4
64,134,30.75,0.0,4
65,135,27.0,0.0,2
66,136,67.0,0.0,1
67,137,32.0,0.0,2
68,138,19.0,0.0,5
69,139,27.0,0.0,3
70,140,25.333333333333332,0.0,3
71,141,52.0,0.0,1
72,143,47.0,1.0,2
73,144,39.5,0.0,2
74,145,29.5,0.0,2
75,146,37.0,0.5,4
76,147,35.333333333333336,0.3333333333333333,3
77,148,23.666666666666668,0.3333333333333333,3
78,149,47.0,0.5,2
79,150,32.0,0.0,2
80,151,52.0,0.0,2
81,152,32.0,0.2,5
82,153,27.0,0.0,2
83,154,23.666666666666668,0.0,3
84,155,64.5,1.0,2
85,156,37.0,0.0,1
86,157,49.5,0.0,2
87,158,29.5,0.0,2
88,159,32.0,0.0,2
89,160,37.0,0.0,2
90,161,52.0,0.5,2
91,162,24.5,0.0,2
92,163,29.5,0.0,2
93,164,43.666666666666664,0.0,3
94,165,85.0,1.0,1
95,166,42.0,0.0,3
96,167,20.333333333333332,0.3333333333333333,3
97,168,29.5,0.0,4
98,169,42.0,0.0,1
99,170,32.0,0.0,4
100,171,67.0,1.0,1
101,173,15.75,0.25,4
102,174,34.5,0.0,4
103,175,49.5,0.0,2
104,176,38.666666666666664,0.3333333333333333,3
105,177,22.0,0.5,4
106,178,32.0,0.0,2
107,179,47.0,0.0,1
108,180,27.0,0.0,3
109,181,24.5,0.0,4
110,182,34.5,0.25,4
111,183,62.0,1.0,2
112,184,39.5,0.0,2
113,185,37.0,0.0,3
114,186,32.0,0.0,2
115,187,57.0,1.0,1
116,188,27.0,0.0,3
117,189,24.5,0.0,2
118,190,32.0,0.5,2
119,191,19.5,0.0,4
120,192,29.5,0.0,4
121,193,47.0,0.0,1
122,194,52.0,0.0,1
123,195,25.75,0.0,4
124,197,27.0,0.0,1
125,199,32.0,0.0,4
126,200,29.0,0.0,5
127,201,19.0,0.4,5
128,202,62.0,0.0,1
129,203,52.0,0.0,1
130,205,52.0,0.0,2
131,206,33.25,0.0,4
132,207,45.333333333333336,0.3333333333333333,3
133,208,42.0,0.0,2
134,209,42.0,0.0,1
135,210,28.25,0.0,4
136,211,40.333333333333336,0.0,3
137,212,17.0,0.0,3
138,213,27.0,0.0,1
139,214,25.333333333333332,0.0,3
140,215,24.5,0.0,2
141,216,52.0,0.0,1
142,218,23.25,0.0,4
143,219,32.0,0.0,1
144,221,57.0,1.0,2
145,222,25.333333333333332,0.0,3
146,223,19.5,0.0,4
147,224,42.0,0.0,2
148,225,62.0,0.0,2
149,226,32.0,0.0,2
150,227,34.5,0.0,2
151,228,37.0,0.0,1
152,229,18.25,0.0,4
153,230,26.0,0.2,5
154,231,67.0,1.0,2
155,232,27.0,0.0,3
156,233,30.75,0.0,4
157,234,27.0,0.0,1
158,235,37.0,0.0,1
159,236,20.0,0.0,5
160,237,29.5,0.0,2
161,238,64.5,1.0,2
162,239,27.0,0.0,2
163,240,20.75,0.0,4
164,241,29.5,0.0,2
165,242,32.0,0.0,3
166,243,30.333333333333332,0.0,3
167,244,27.0,0.0,4
168,245,32.0,0.0,3
169,246,43.666666666666664,0.0,3
170,247,33.666666666666664,0.3333333333333333,3
171,248,24.5,0.0,2
172,249,42.0,0.5,2
173,250,29.5,0.0,2
174,251,47.0,0.0,1
175,252,32.0,0.0,3
176,253,32.0,0.5,2
177,254,23.0,0.0,5
178,255,27.0,0.0,3
179,256,44.5,0.0,2
180,257,47.0,0.0,1
181,258,22.0,0.5,2
182,259,27.0,0.0,2
183,260,62.0,0.0,2
184,261,48.666666666666664,0.0,3
185,262,34.5,0.0,2
186,263,25.333333333333332,0.0,3
187,264,19.5,0.0,4
188,265,23.666666666666668,0.3333333333333333,3
189,266,34.5,0.0,2
190,267,27.0,0.0,2
191,268,42.0,0.0,1
192,269,57.0,0.0,2
193,270,19.5,0.0,4
194,271,42.0,0.0,1
195,272,17.0,0.0,2
196,273,30.333333333333332,0.0,3
197,274,37.0,0.0,1
198,275,47.0,1.0,1
199,276,49.5,0.5,2
200,277,62.0,1.0,2
201,278,32.0,0.0,2
202,279,32.0,0.0,1
203,280,27.0,0.0,3
204,281,29.5,0.0,2
205,282,17.0,0.0,4
206,283,59.5,0.5,2
207,284,23.666666666666668,0.0,3
208,285,27.0,0.0,2
209,286,62.0,1.0,1
210,287,28.25,0.0,4
211,288,17.0,0.0,2
212,289,52.0,0.0,1
213,290,42.0,0.0,3
214,291,42.0,0.0,2
215,292,64.5,0.5,2
216,293,27.0,0.0,2
217,294,22.0,0.0,2
218,295,47.0,0.0,1
219,296,27.0,0.0,3
220,298,29.5,0.0,2
221,299,67.0,1.0,1
222,300,52.0,0.0,1
223,301,22.0,0.0,3
224,302,29.5,0.0,2
225,303,32.0,0.0,1
226,304,32.0,0.6666666666666666,3
227,305,29.5,0.0,2
228,306,34.5,0.0,4
229,307,29.5,0.0,4
230,308,37.0,0.0,2
231,309,27.0,0.3333333333333333,3
232,310,24.5,0.0,2
233,311,59.5,0.0,2
234,313,37.0,0.0,1
235,315,39.5,0.0,2
236,316,38.666666666666664,0.0,3
237,317,37.0,0.0,1
238,318,29.5,0.0,4
239,319,71.0,0.5,2
240,320,34.5,0.0,2
241,321,57.0,1.0,1
242,322,38.666666666666664,0.0,3
243,323,62.0,1.0,1
244,325,47.0,0.0,1
245,326,37.0,0.0,1
246,327,24.5,0.0,4
247,328,67.0,1.0,1
248,329,54.5,0.0,2
249,330,20.75,0.0,4
250,331,52.0,0.0,2
251,332,42.0,0.0,1
252,333,32.0,0.0,3
253,334,25.0,0.0,5
254,335,34.5,0.0,2
